Gene	RNA Tissue Category	RNA TS TPM	BaseMean	log2FoldChange	lfcSE	stat	P_value	P value adjusted
FAM214B	Expressed in all		137.2011911	0.063565986	0.100116373	0.634920981	0.525479952	0.932563926
PRKAR2B	Tissue enhanced	adipose tissue: 139.4	13.09524513	-0.383523007	1.113761977	-0.344349165	0.730583714	0.971377011
MSL3	Expressed in all		242.6608873	0.006558079	0.10706519	0.061253141	0.951157609	0.995220524
CREBBP	Expressed in all		330.1631665	-0.362439027	0.165497036	-2.190003134	0.02852401	0.603065099
TSPOAP1	Expressed in all		82.56246187	0.220185181	0.284483264	0.773982895	0.438940906	0.910797267
MPO	Tissue enriched	bone marrow: 2499.6	10.36916734	-1.131527253	0.512076322	-2.209684777	0.027127047	0.602881366
PON1	Tissue enriched	liver: 233.6	10810.4251	0.131538197	0.171380441	0.767521639	0.442771432	0.91296689
GCFC2	Expressed in all		470.4356239	0.144239927	0.099209029	1.453899195	0.145974256	0.779613818
WDR54	Tissue enhanced	fallopian tube: 113.2	23.80143055	0.010870901	0.187187524	0.058074922	0.95368895	0.995220524
CROT	Expressed in all		795.1383278	0.126705268	0.128664683	0.984771147	0.324736496	0.872055039
ABCB4	Tissue enriched	liver: 69.3	2804.766793	0.119479704	0.174709694	0.68387564	0.494053698	0.924124412
KMT2E	Expressed in all		666.6037732	0.214839279	0.10336263	2.078500508	0.037663284	0.626269674
RHBDD2	Expressed in all		653.3506538	-0.024187839	0.132020584	-0.183212636	0.85463118	0.984523375
SOX8	Tissue enriched	cerebral cortex: 109.9	2.731197951	-0.43327389	0.516545125	-0.838791946	0.401586071	0.902517195
IBTK	Expressed in all		2139.444788	0.061666631	0.113200964	0.544753586	0.585923004	0.946478902
ZNF195	Expressed in all		144.035806	0.130526641	0.129263631	1.009770812	0.312605107	0.865909823
MYCBP2	Expressed in all		758.2572762	-0.030783108	0.111549168	-0.275959992	0.782578795	0.975171334
FBXL3	Expressed in all		950.2560351	-0.043859819	0.135539428	-0.323594538	0.746245023	0.971967975
ITGAL	Tissue enhanced	lymph node: 79.0;spleen: 80.9	325.2353533	-0.066852296	0.143518839	-0.465808505	0.641352577	0.959432642
PDK2	Expressed in all		868.9694573	-0.099067067	0.140202047	-0.706602141	0.479813758	0.921238405
ITGA3	Mixed		120.315973	0.127312781	0.289512961	0.439748121	0.660119546	0.963267934
ZFX	Expressed in all		604.4178084	0.004454708	0.176906639	0.025181126	0.979910492	0.998658478
LAMP2	Expressed in all		4886.50567	0.136546778	0.114994175	1.187423424	0.235060645	0.831651111
ITGA2B	Tissue enhanced	bone marrow: 11.2;epididymis: 29.3	1.514517359	2.259801224	1.698904146	1.33015228	0.183468103	0.79777008
ASB4	Group enriched	adrenal gland: 50.2;skeletal muscle: 11.5	24.63262266	-0.189346986	0.216726454	-0.873668082	0.382299038	0.897568915
GDE1	Expressed in all		692.0929907	-0.177493012	0.070003023	-2.535504948	0.011228534	0.515473392
C19orf60	Mixed		289.3124306	-0.188338394	0.248868515	-0.756778708	0.449182451	0.914824339
CRLF1	Tissue enhanced	cerebral cortex: 17.2;placenta: 16.8	5.025757414	-0.567288789	0.728161447	-0.77907007	0.43593844	0.910797267
OSBPL7	Mixed		25.38111009	0.02982243	0.201801551	0.147780975	0.882515624	0.990384986
TMEM98	Expressed in all		235.1116629	0.110578796	0.178048799	0.621058928	0.534560852	0.935940809
YBX2	Tissue enriched	testis: 385.4	9.409181107	0.330195452	0.329732889	1.001402843	0.31663209	0.868428295
KRT33A	Group enriched	esophagus: 1.4;testis: 1.6	0	NA	NA	NA	NA	NA
MAP3K14	Expressed in all		161.6621134	-0.236527986	0.160733597	-1.471552869	0.141141661	0.777592575
ABCC8	Tissue enhanced	cerebral cortex: 11.3	0.78476645	-0.341285664	0.874755539	-0.39014976	0.696425809	NA
CACNG3	Tissue enriched	cerebral cortex: 42.5	0.174593339	-0.207307595	2.132595239	-0.097209068	0.922560367	NA
TMEM132A	Tissue enhanced	cerebral cortex: 94.2	25.37504221	0.117834541	0.269797026	0.436752557	0.662290809	0.963267934
TAC1	Tissue enhanced	cerebral cortex: 77.7;spleen: 47.0	0.915958893	1.029210759	0.947180402	1.086604787	0.277211508	NA
ZNF263	Expressed in all		197.2293725	0.003606437	0.088860492	0.040585384	0.967626436	0.99698293
CX3CL1	Tissue enhanced	cerebral cortex: 100.1	372.8774552	0.079235127	0.157096307	0.504372945	0.613999326	0.956005402
SPATA20	Expressed in all		191.0716844	-0.210227931	0.249311796	-0.843232987	0.399098153	0.902517195
CACNA1G	Tissue enhanced	"cerebral cortex: 10.5;cervix, uterine: 8.5"	0.513107749	-1.055824735	0.992356295	-1.06395731	0.287348039	NA
TNFRSF12A	Expressed in all		135.747028	-0.699871325	0.400859942	-1.745924826	0.080824015	0.715622496
DLX6	Tissue enhanced	endometrium: 4.4;placenta: 4.3;testis: 5.4	0.68008645	-0.956944959	0.941521693	-1.016381212	0.309447889	NA
MAP3K9	Mixed		105.9474863	-0.012608256	0.138427145	-0.091082254	0.927427233	0.992479728
RALA	Expressed in all		472.8732006	-0.014087583	0.072205662	-0.19510358	0.84531186	0.98182084
BAIAP2L1	Mixed		477.0818081	-0.211967334	0.129328003	-1.638990242	0.101215292	0.740569818
KDM7A	Mixed		430.1328107	-0.081633161	0.118247108	-0.69036074	0.489967359	0.922373238
ETV1	Tissue enhanced	cerebral cortex: 106.3	202.9828822	0.028516517	0.161709162	0.176344472	0.860023326	0.985345383
AGK	Expressed in all		240.5220031	0.110280679	0.095835617	1.150727496	0.249844361	0.840999389
ALDH3B1	Tissue enhanced	fallopian tube: 64.4;lung: 67.7	35.09549398	0.38509814	0.666604752	0.577700862	0.563466097	0.941916744
TTC22	Tissue enhanced	esophagus: 40.6	67.25849864	-0.029888302	0.154942979	-0.192898716	0.847038291	0.982734801
PHTF2	Mixed		230.1191767	-0.003680628	0.156007702	-0.023592601	0.981177574	0.998658478
CCL26	Tissue enhanced	ovary: 12.0	0.627538096	-0.369385714	0.843196602	-0.438077802	0.661329885	NA
FARP2	Expressed in all		253.6792827	-0.014285365	0.108686562	-0.131436345	0.895430139	0.990999771
USH1C	Tissue enhanced	duodenum: 99.2;small intestine: 106.9	27.2421862	-0.173856904	0.345587821	-0.503075898	0.614910911	0.956265643
GGCT	Expressed in all		289.7897896	0.015212219	0.098649078	0.154205389	0.877447793	0.989778911
DBF4	Tissue enriched	testis: 21.4	62.35065963	-0.169514544	0.158933545	-1.066574993	0.286163798	0.857021892
TBXA2R	Mixed		119.6086641	0.040667075	0.172393268	0.235897117	0.813512506	0.977674842
IFRD1	Expressed in all		278.0469544	0.248593892	0.161707073	1.537309945	0.124217427	0.766555266
LGALS14	Tissue enriched	placenta: 69.0	0	NA	NA	NA	NA	NA
COX10	Expressed in all		125.1703745	-0.008578066	0.118165079	-0.072593918	0.942129266	0.994111829
GTF2IRD1	Mixed		73.67240118	-0.032711077	0.167515009	-0.195272516	0.845179612	0.98182084
PAF1	Expressed in all		346.0177761	-0.189908326	0.151289812	-1.255261822	0.209383729	0.817177771
VPS41	Expressed in all		786.5585585	0.187104682	0.09842348	1.90101673	0.057299821	0.677827755
ARHGAP44	Tissue enhanced	parathyroid gland: 51.6	33.62454609	0.216584838	0.202887108	1.067514046	0.285739774	0.856909005
ELAC2	Expressed in all		555.4383576	-0.112821599	0.080035305	-1.409647885	0.15864368	0.784583742
SCIN	Tissue enhanced	placenta: 110.4	2.625310727	0.144526392	0.790710332	0.182780451	0.854970288	0.984523375
ARSD	Mixed		1922.959305	-0.126245819	0.139321794	-0.906145518	0.364858836	0.89352796
PNPLA4	Expressed in all		474.094232	0.014778524	0.144214384	0.102476077	0.9183788	0.992479728
MYH13	Not detected		0.191375738	0.342542814	2.063869211	0.165971183	0.868179629	NA
ADIPOR2	Expressed in all		2648.890554	-0.061698968	0.095250012	-0.647758109	0.517141414	0.931525831
CDKL3	Tissue enriched	testis: 28.9	12.09082118	-0.315343464	0.240871455	-1.309177393	0.190474268	0.804458254
UPP2	Group enriched	kidney: 52.2;liver: 14.3	143.2343181	-1.134671985	0.534289053	-2.123704348	0.033694874	0.618030305
PRSS21	Tissue enriched	testis: 49.5	1.623916599	0.534135965	0.73751446	0.724237956	0.46891966	0.920620252
MARK4	Expressed in all		159.4710554	-0.078023387	0.129386192	-0.603027158	0.546490623	0.938463233
PROM1	Tissue enhanced	"cervix, uterine: 67.2"	175.2927497	-0.172993687	0.291963679	-0.592517835	0.553503882	0.939957075
CCDC124	Expressed in all		219.6480573	-0.406216722	0.19710226	-2.060944015	0.039308382	0.628367611
CEACAM21	Tissue enhanced	bone marrow: 11.0	16.47768425	-0.510646366	0.278110703	-1.83612626	0.066338985	0.692935564
PAFAH1B1	Expressed in all		1304.834959	-0.037142653	0.077735658	-0.477807146	0.632787474	0.957223256
NOS2	Group enriched	appendix: 18.9;colon: 7.0;duodenum: 12.3;rectum: 9.8;small intestine: 24.1;urinary bladder: 6.5	1.559809585	-0.873707061	1.70064707	-0.513749782	0.607426942	0.954565404
DNAH9	Tissue enriched	fallopian tube: 56.4	0.895896427	0.799679987	0.831088177	0.962208354	0.335944954	NA
KIAA0100	Expressed in all		571.8379576	0.047503661	0.201636112	0.23559104	0.813750027	0.977674842
SLC13A2	Tissue enhanced	duodenum: 68.7;small intestine: 54.3	26.3302335	-0.240992099	0.323441163	-0.745087906	0.45621858	0.916774998
GAS7	Tissue enhanced	cerebral cortex: 154.7	97.74129334	0.00716199	0.187751596	0.038146092	0.969571202	0.997344784
TRAPPC6A	Expressed in all		185.8213622	-0.098038276	0.191869407	-0.510963564	0.609376571	0.954861584
MATK	Tissue enhanced	cerebral cortex: 22.0	40.05061004	0.219066153	0.26023092	0.841814467	0.399891813	0.902517195
CEACAM7	Group enriched	colon: 583.2;rectum: 691.9	0.493108704	-0.352092754	1.29694075	-0.271479444	0.786022307	NA
CD79B	Group enriched	appendix: 91.1;lymph node: 311.5;spleen: 157.4;tonsil: 189.1	38.26760885	0.021596716	0.185459197	0.116449957	0.907295944	0.992340257
SCN4A	Group enriched	adipose tissue: 12.4;skeletal muscle: 47.2	16.89778912	0.190362266	0.268148255	0.709914246	0.477757316	0.921238405
ST7L	Tissue enriched	testis: 65.0	109.1522974	-0.009876784	0.128168881	-0.077060704	0.938575254	0.993902735
TKTL1	Tissue enriched	testis: 225.8	2.174791418	0.376078592	0.516696603	0.727851876	0.466704265	0.919360602
PAX6	Group enriched	cerebral cortex: 22.3;stomach: 11.2	38.17346335	0.218002842	0.178049645	1.224393581	0.220803789	0.822469016
RPUSD1	Expressed in all		86.81816432	-0.343111304	0.16513488	-2.077763976	0.037731103	0.626269674
RHBDF1	Mixed		74.17599274	0.055438882	0.201396118	0.275272845	0.783106625	0.975218023
LUC7L	Expressed in all		273.4981788	0.221971437	0.177809247	1.248368355	0.211896192	0.817899112
CACNA2D2	Tissue enriched	lung: 72.9	12.94341025	-0.125473086	0.23323531	-0.537967799	0.59059928	0.948661551
BAIAP3	Tissue enhanced	adrenal gland: 24.9;cerebral cortex: 25.1;fallopian tube: 42.4	55.74911449	-0.414059572	0.280744884	-1.474860617	0.14025002	0.776255662
TSR3	Expressed in all		332.5284217	-0.109926445	0.171154434	-0.642264664	0.520701353	0.932074969
PIGQ	Expressed in all		359.7431954	-0.275133139	0.181232454	-1.518122902	0.128983419	0.770944622
CRAMP1	Mixed		77.94940699	-0.103059528	0.203307004	-0.506915777	0.612213915	0.956005402
TEAD3	Mixed		140.7936	-0.155388297	0.14372117	-1.081178907	0.279617539	0.853289731
SELE	Tissue enhanced	parathyroid gland: 45.2;prostate: 46.4	120.7748891	0.471769337	0.335004285	1.408248665	0.159057451	0.784736401
DNAJC11	Expressed in all		408.7197312	-0.25985076	0.113897747	-2.281438979	0.022522484	0.57769907
FMO3	Tissue enriched	liver: 556.7	7285.537958	0.322945322	0.174880427	1.846663614	0.064795908	0.690347457
MYLIP	Expressed in all		157.2343956	-0.035661501	0.131838432	-0.270493969	0.786780256	0.975776136
NOX1	Group enriched	colon: 58.7;rectum: 79.9	4.670635542	0.004723487	0.369957475	0.012767647	0.989813168	0.999266488
E2F2	Tissue enhanced	bone marrow: 15.3	5.930255989	0.180303466	0.336496893	0.535825054	0.592079465	0.949269343
PSMB1	Expressed in all		1858.339155	0.004869765	0.064751434	0.075207061	0.940049966	0.993957574
SYN1	Tissue enriched	cerebral cortex: 378.9	10.08290951	-0.454044527	0.381112346	-1.191366619	0.233509691	0.830132885
JARID2	Mixed		201.346982	-0.170944464	0.115034104	-1.486032915	0.137270415	0.774888454
CDKL5	Tissue enhanced	cerebral cortex: 31.0	17.2183795	0.149927038	0.281950579	0.531749352	0.594899606	0.950288297
CAMK1G	Tissue enhanced	cerebral cortex: 32.3;ovary: 27.7	5.330361103	0.875812039	0.409929578	2.13649389	0.032639178	0.616423193
CDK11A	Expressed in all		312.8075688	-0.026042267	0.165267035	-0.157576897	0.87479021	0.989225107
NADK	Expressed in all		1785.470229	-0.130017539	0.113907444	-1.141431449	0.253690424	0.841116715
TFAP2B	Tissue enhanced	epididymis: 39.4	0.289172414	-0.551560688	1.508370926	-0.365666481	0.714613961	NA
TFAP2D	Not detected		0.006733429	0.167679257	4.131705827	0.040583542	0.967627905	NA
DLEC1	Tissue enhanced	fallopian tube: 29.7;testis: 17.3	25.20277788	0.516022066	0.331639152	1.555974508	0.119714154	0.762845072
CYTH3	Expressed in all		164.5632982	0.044378942	0.135014978	0.328696438	0.742385147	0.971967975
ADAM22	Tissue enhanced	cerebral cortex: 47.6	17.01843432	0.398832272	0.278691563	1.431088433	0.152404872	0.781836033
SYPL1	Expressed in all		1269.452328	-0.01693458	0.128248611	-0.132044938	0.894948747	0.990944362
CYB561	Expressed in all		357.374289	-0.181444236	0.143896292	-1.260937533	0.207331354	0.815840985
SPAG9	Expressed in all		672.4095594	-0.318340852	0.184603441	-1.724457848	0.084625222	0.719092186
CELSR3	Group enriched	adrenal gland: 1.6;cerebral cortex: 5.9;testis: 3.5	8.55297528	0.291517973	0.237116431	1.22942966	0.218910756	0.821995757
AASS	Mixed		820.1994534	0.026672565	0.1881485	0.141763368	0.88726692	0.990384986
PLEKHG6	Tissue enhanced	small intestine: 47.7	70.33684192	-0.254987585	0.185117024	-1.377439952	0.168376268	0.790698239
SS18L2	Expressed in all		302.8169044	0.242878157	0.146507609	1.657785279	0.097360814	0.73535515
MPND	Expressed in all		442.41452	-0.031339081	0.19973021	-0.156907065	0.875318092	0.989375324
MGST1	Expressed in all		21278.36959	0.146894892	0.116026612	1.266044828	0.205497034	0.81370436
CRY1	Expressed in all		196.7203038	0.040541675	0.174062748	0.232914137	0.81582808	0.977674842
PGLYRP1	Tissue enriched	bone marrow: 421.1	2.319193191	-0.123866565	0.57111611	-0.216885082	0.828297903	0.979618706
NFIX	Expressed in all		1284.666278	-0.080357057	0.117212566	-0.685566916	0.49298625	0.923486336
ST3GAL1	Expressed in all		4028.8681	-0.17384604	0.13835204	-1.256548445	0.208917193	0.817177771
MMP25	Tissue enhanced	appendix: 23.3;bone marrow: 24.7;spleen: 20.7	30.50080421	0.105309953	0.272077286	0.387058966	0.698712555	0.967669272
IL32	Expressed in all		3324.614544	-0.058859686	0.251759061	-0.233793715	0.815145129	0.977674842
PKD1	Mixed		630.9336973	-0.079818185	0.186614118	-0.427717826	0.66885657	0.96452407
MAPK8IP2	Tissue enriched	cerebral cortex: 78.2	1.11249888	-1.430861687	1.340275215	-1.067587963	0.285706416	0.856909005
MED24	Expressed in all		331.4150827	-0.175667962	0.125601883	-1.398609308	0.161930174	0.787749617
RHOBTB2	Mixed		107.7392706	-0.352044997	0.162395093	-2.167830263	0.030171603	0.606409153
HEATR5B	Expressed in all		282.0478242	0.343532703	0.148836343	2.308123781	0.020992253	0.574316972
SEC62	Expressed in all		6360.924944	0.01245409	0.104320521	0.119382939	0.904971977	0.992069094
RPS20	Expressed in all		7863.733401	0.273930829	0.161545197	1.695691575	0.089944305	0.725415173
CSDE1	Expressed in all		5897.299224	-0.098133051	0.07560692	-1.297937428	0.194308837	0.805043039
UBE3C	Expressed in all		1050.682102	-0.107743272	0.082642809	-1.303722285	0.192328288	0.804459695
REV3L	Expressed in all		475.7309304	0.218697824	0.129471848	1.689153491	0.091190019	0.725842068
TENM1	Mixed		368.080337	0.515725685	0.195746861	2.634656222	0.008422254	0.48895185
PAX7	Group enriched	cerebral cortex: 1.3;skeletal muscle: 2.2	0.023683521	-0.024679599	4.131705827	-0.005973223	0.995234086	NA
MASP2	Tissue enriched	liver: 105.5	2739.20539	-0.028404817	0.105875856	-0.268284173	0.788480588	0.975776136
IYD	Tissue enriched	thyroid gland: 794.5	1340.367656	0.31548866	0.170423212	1.851207106	0.064139764	0.689819712
FAM76A	Expressed in all		95.96399673	-0.161548181	0.106283491	-1.519974352	0.128517422	0.770944622
TRAF3IP3	Tissue enhanced	lymph node: 114.8;spleen: 82.5;tonsil: 82.8	81.74357709	0.220453808	0.166027672	1.327813647	0.184239677	0.798486086
POMT2	Expressed in all		114.0324518	-0.386879541	0.119859805	-3.227767158	0.001247605	0.326455671
VTA1	Expressed in all		581.5650812	-0.018412484	0.192598923	-0.095600141	0.923838153	0.992479728
MLXIPL	Tissue enhanced	adipose tissue: 60.8;duodenum: 58.7	2460.496636	-0.034959314	0.16137126	-0.216639032	0.828489665	0.979618706
BAZ1B	Expressed in all		1088.582416	-0.117001446	0.06578288	-1.778600232	0.075305326	0.704671009
RANBP9	Expressed in all		620.5000264	0.066141047	0.09205077	0.718527904	0.472431849	0.921238405
ETV7	Mixed		13.90767604	0.020027588	0.327939057	0.061071066	0.951302612	0.995220524
SPRTN	Mixed		92.85337515	-0.008238306	0.144517412	-0.057005629	0.954540711	0.995220524
METTL13	Expressed in all		195.0756236	-0.11953564	0.145069791	-0.823987128	0.409946872	0.905321729
DYRK4	Tissue enhanced	testis: 66.2	83.54317016	0.063074322	0.118857473	0.530671912	0.595646154	0.950302631
ZNF207	Expressed in all		990.6072377	0.166996305	0.094311772	1.77068357	0.076613336	0.708524142
UQCRC1	Expressed in all		2365.23255	-0.006813532	0.092082066	-0.073994126	0.941015059	0.993987478
STARD3NL	Expressed in all		128.2952927	0.012597698	0.278118386	0.045296172	0.963871239	0.996409642
CD9	Expressed in all		346.7163572	-0.043586661	0.199475586	-0.218506244	0.827034694	0.979536711
